"shortnam","baseco","logpgp95","avexpr","logem4","asia","africa","lat_abst","meantemp","humid","malfal94","f_brit","f_french"
"AFG",NA,NA,NA,4.54009819030762,1,0,0.366666674613953,NA,55.75,0.00372000015340745,1,0
"AGO",1,7.77064514160156,5.36363649368286,5.63478946685791,0,1,0.136666670441628,22.9413299560547,78.25,0.949999988079071,0,0
"ARE",NA,9.80421924591064,7.18181800842285,NA,1,0,0.266666680574417,NA,NA,0.0122999995946884,1,0
"ARG",1,9.13345909118652,6.38636350631714,4.23265600204468,0,0,0.37777778506279,17.1000003814697,78,0,0,0
"ARM",NA,7.68248224258423,NA,NA,1,0,0.444444447755814,NA,66,0,0,0
"AUS",1,9.89797210693359,9.31818199157715,2.14593124389648,0,0,0.300000011920929,20.8999996185303,60,0,1,0
"AUT",NA,9.97487735748291,9.72727298736572,NA,0,0,0.524444460868835,NA,70.75,0,0,0
"AZE",NA,7.30653142929077,NA,NA,1,0,0.447777777910233,NA,66,0,0,0
"BDI",NA,6.56526517868042,NA,5.63478946685791,0,1,0.0366666652262211,NA,68.5,0.949999988079071,0,0
"BEL",NA,9.99287128448486,9.68181800842285,NA,0,0,0.561111092567444,NA,83,0,0,0
"BEN",NA,7.09007692337036,NA,5.58544921875,0,1,0.103333339095116,NA,80,0.949999988079071,0,1
"BFA",1,6.84588003158569,4.45454549789429,5.63478946685791,0,1,0.144444450736046,28.1000003814697,51.25,0.949999988079071,0,1
"BGD",1,6.87729597091675,5.13636350631714,4.26843786239624,1,0,0.266666680574417,25.6862106323242,55.5,0.120080001652241,1,0
"BGR",NA,8.45744323730469,8.90909099578857,NA,0,0,0.477777779102325,NA,71.25,0,0,0
"BHR",NA,9.68595314025879,8,NA,1,0,0.288888901472092,NA,73.5,NA,1,0
"BHS",1,9.28544807434082,7.5,4.44265127182007,0,0,0.268333315849304,NA,74.5,NA,1,0
"BIH",NA,NA,NA,NA,0,0,0.488888889551163,NA,70,0,0,0
"BLR",NA,8.34045600891113,NA,NA,0,0,0.588888883590698,NA,67.75,0,0,0
"BLZ",NA,8.37793159484863,NA,5.09558916091919,0,0,0.190555557608604,NA,90.25,0.0124799991026521,1,0
"BOL",1,7.92660236358643,5.63636350631714,4.26268005371094,0,0,0.188888892531395,21.5,73.25,0.0016499999910593,0,0
"BRA",1,8.72745418548584,7.90909099578857,4.26268005371094,0,0,0.111111111938953,23.7000007629395,77.75,0.0359999984502792,0,0
"BRB",NA,9.26672077178955,NA,4.44265127182007,0,0,0.145555555820465,NA,72,NA,1,0
"BTN",NA,NA,NA,NA,0,0,0.303333312273026,NA,73.75,0.417999982833862,1,0
"BWA",NA,8.85509300231934,7.72727251052856,NA,0,1,0.244444444775581,NA,64.5,0.303999990224838,1,0
"CAF",NA,7.19293403625488,NA,5.63478946685791,0,1,0.0777777805924416,NA,76.75,0.949999988079071,0,1
